"date","high","low","close","open"
"2000-03-06",373.260986,330,373.260986,373.114014
"2000-03-30",309.375,293.125,304.553009,309.375
"2000-04-26",241.966003,239.093994,241.966003,241.964005
"2001-02-12",200.061996,196.406006,199.031006,200.061996
"2001-02-22",184.061996,173.593994,181.052994,184.061996
"2001-04-04",123.438004,119.688004,122.324997,123.438004
"2001-07-02",119.061996,110.938004,116.682999,119.061996
"2003-12-24",170.311996,167.067001,169.494995,170.311996
"2004-01-19",172.968994,168.311996,171.955994,172.968994
"2004-09-17",211.994003,208.781006,211.212006,211.994003
"2006-11-21",566.25,553.937988,564.125,566.25
"2007-09-04",480.674988,443.75,472.424988,480.674988
"2007-10-04",502.5,490.5,499.725006,502.5
"2010-07-22",691.187988,681.763,688.625,691.187988
"2012-04-17",599.75,584.025024,595.174988,599.75
"2012-10-05",646.25,515.138,631.713013,646.25
"2016-06-16",1189.5,1170.099976,1186,1189.5